"","date","player_name","played_game","at_bats","hits","runs_batted_in","homeruns","stolen_bases","special_hitting","innings_pitched","hits_allowed","runs_allowed","strikeouts","big_plays","special_pitching","Hitting.Handedness","Pitching.Handedness","player_type","captain","special_use_rate","batting_average","era","so9","hip","cum_at_bats","cum_hits","running_avg","cum_runs_allowed","cum_innings","running_era"
"90",2020-10-10,"Noki","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","0",0.0649350649350649,0.233766233766234,4.5,2.25,2.5,0,0,0,0,0,0
"91",2020-10-10,"Shy Guy","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Balance","0",0,0.170731707317073,13.4831460674157,6.74157303370787,2.99625468164794,0,0,0,0,0,0
"92",2020-10-10,"Toadette","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Speed","0",0,0.210526315789474,0,0,0,0,0,0,0,0,0
"93",2020-10-10,"Wario","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Power","0",0.0909090909090909,0.181818181818182,0,0,0,0,0,0,0,0,0
"94",2020-10-11,"Waluigi","1",3,0,0,0,0,0,9,11,1,10,0,0,0,0,"Technique","0",0.19047619047619,0.333333333333333,4.75027572081298,7.58626122577596,1.44950370253663,8,3,0.375,2,16.33,1.10226576852419
"95",2020-10-11,"Koopa","1",4,1,0,0,0,0,9,10,5,7,0,0,0,0,"Balance","0",0.0101010101010101,0.313131313131313,3.20738137082601,7.95254833040422,1.23999218902558,18,7,0.388888888888889,20,35,5.14285714285714
"96",2020-10-11,"DK","1",4,3,0,0,1,1,0,0,0,0,0,0,0,0,"Power","0",0.1003861003861,0.409266409266409,7.2,5.4,1.76,15,5,0.333333333333333,0,0,0
"97",2020-10-11,"Mario","1",3,3,0,0,0,1,0,0,0,0,0,0,0,0,"Balance","0",0.430034129692833,0.453924914675768,8.3017320897817,6.45690273649687,1.63984831403095,15,6,0.4,0,0.33,0
"98",2020-10-11,"Birdo","1",4,2,3,0,0,2,0,0,0,0,0,0,0,0,"Balance","0",0.26,0.343333333333333,21.6867469879518,5.42168674698795,2.40963855421687,17,8,0.470588235294118,0,0,0
"99",2020-10-11,"Bowser","1",4,2,0,0,0,0,0,0,0,0,0,0,0,0,"Power","0",0.034965034965035,0.332167832167832,13.5542168674699,10.8433734939759,2.10843373493976,16,6,0.375,0,0,0
"100",2020-10-11,"Toad","1",4,2,0,0,2,0,0,0,0,0,0,0,0,0,"Balance","0",0,0.391447368421053,4.62724935732648,6.94087403598972,1.45672664952871,13,4,0.307692307692308,0,0,0
"101",2020-10-11,"Yoshi","1",3,2,0,0,0,0,0,0,0,0,1,0,0,0,"Speed","0",0.131578947368421,0.345864661654135,5.38922155688623,0,2.39520958083832,14,6,0.428571428571429,0,0,0
"102",2020-10-11,"Boo","1",4,1,0,0,0,0,0,0,0,0,0,0,0,0,"Technique","0",0,0.343333333333333,4.38813843817441,7.81712093357845,1.40676204939653,16,9,0.5625,7,19.33,3.25918261769271
"103",2020-10-11,"Daisy","1",3,1,1,0,0,0,0,0,0,0,0,0,0,0,"Balance","0",0.151515151515152,0.34469696969697,4.67012601927354,11.3417346182357,1.70496664195701,13,5,0.384615384615385,0,0,0
"104",2020-10-11,"Drybones","1",4,1,0,0,0,0,0,0,0,0,0,0,0,0,"Technique","0",0.00649350649350649,0.285714285714286,0,0,0,10,2,0.2,0,0,0
"105",2020-10-11,"Flying Koopa","1",4,1,1,0,0,0,0,0,0,0,0,0,0,0,"Technique","0",0.0069204152249135,0.325259515570934,4.12968665096903,7.11827567469661,1.42486264565598,17,4,0.235294117647059,0,1,0
